midi_infile,rms_random,rms_corrected_random,rms_median,rms_corrected_median,rms_preds,rms_corrected_preds
midi_files/beeth/beethoven_opus10_1.mid,20.525028426962702,2.7733320954442933,17.450526548695382,2.7396290175482925,16.967963796728768,2.700389157243214
midi_files/beeth/appass_2.mid,23.02027616230074,2.799771029795685,18.060236302031306,2.833865298320607,18.23740601877885,2.6981306745225657
midi_files/beeth/appass_3.mid,24.077396662490703,2.8049939642387387,17.813251254466202,2.793779804000989,20.491601153784213,2.7582205677827765
midi_files/beeth/appass_1.mid,24.8925619907857,2.8111875781974818,19.88785005717066,2.7777708082779813,21.854349501368368,2.7606267512268206
midi_files/beeth/beethoven_les_adieux_3.mid,24.70256377964772,2.8191935345646426,15.477923719888011,2.6944366285136434,18.48455986200551,2.7106783565196775
midi_files/beeth/pathetique_1.mid,22.62084332878882,2.7907213457865487,19.412075793104805,2.719071350492578,20.020421216940683,2.76523780913715
midi_files/beeth/mond_1.mid,19.891236166306413,2.789606709628724,18.979516009952096,2.8123105996832765,15.848868283701707,2.6308418179983137
midi_files/beeth/beethoven_les_adieux_2.mid,22.064695929280624,2.807884718050538,14.515326398701115,2.719404583787153,15.353983706784463,2.6730434508856344
midi_files/beeth/mond_3.mid,22.14755745019037,2.7930834908696323,19.017742195152525,2.807775551657535,19.67493362514521,2.742798351312409
midi_files/beeth/pathetique_2.mid,19.774051222933938,2.7839095434533085,19.415059773498804,2.783362251580315,13.12054457037811,2.5755494967555292
midi_files/beeth/pathetique_3.mid,21.828506959367527,2.7947535099948246,14.86674280915808,2.646145816592924,17.249555983514256,2.7040138725540053
midi_files/beeth/mond_2.mid,18.585847886176914,2.754829733338922,15.98523817913429,2.7731612218880315,14.372781130194708,2.6383753521601916
midi_files/beeth/beethoven_les_adieux_1.mid,23.34002250521913,2.7994212564780745,16.520772165317556,2.6598247071551966,19.69563599856958,2.7491067033244825
midi_files/beeth/beethoven_opus22_1.mid,21.675149423350494,2.7811377721656343,19.115148432468363,2.713853881610134,18.626438438505886,2.716515514898903
midi_files/beeth/beethoven_opus22_2.mid,19.98795278421178,2.790616407911026,17.985655321750357,2.738404456706045,14.639327312187355,2.663888709755796
midi_files/beeth/beethoven_hammerklavier_4.mid,25.051844345175567,2.816957977633363,18.459171405862424,2.726754446258374,19.787903536595948,2.746137510899851
midi_files/beeth/beethoven_opus22_3.mid,19.18642615143168,2.749662796987461,15.900638248839513,2.635401481415252,16.792088380268382,2.6972907532559796
midi_files/beeth/beethoven_hammerklavier_1.mid,26.15633960107759,2.8258990904632992,16.244431169756314,2.66401657623521,21.217965280946473,2.75736758434107
midi_files/beeth/beethoven_opus22_4.mid,21.413316549345875,2.78311277768172,15.28730189033488,2.6673566592578197,15.541487558228091,2.6690154799495196
midi_files/beeth/beethoven_hammerklavier_3.mid,24.92433443471435,2.819728187613679,17.68421348409535,2.7381906181403215,19.8452490880819,2.7532254687358186
midi_files/beeth/beethoven_hammerklavier_2.mid,26.02510406003121,2.80793032463452,18.902169131616432,2.6987013304966085,20.73313796965844,2.7577515168562305
midi_files/schubert/schumm-1.mid,22.02683650132581,2.797301576305711,18.446319877909424,2.719682974480182,16.783629385151432,2.664249313594127
midi_files/schubert/schumm-2.mid,19.988744564276626,2.768382983551529,17.630114339942423,2.7772735981243324,15.735160669872903,2.7070073304731426
midi_files/schubert/schub_d960_4.mid,24.52612728336105,2.813750070719997,15.984482302959856,2.675025734733058,18.894000125017044,2.741458406123941
midi_files/schubert/schumm-3.mid,16.737337566323795,2.7051899988830193,13.454642700864989,2.712778693879391,12.441317832689133,2.5811956315763456
midi_files/schubert/schub_d960_1.mid,24.46669311576189,2.8227968828246435,17.19711601995254,2.7268587925485264,17.802769463700237,2.7126163614594088
midi_files/schubert/schumm-6.mid,19.106092131548916,2.7759657626658436,16.3426587484968,2.7383372593006223,13.990583208396512,2.641708108474949
midi_files/schubert/schumm-4.mid,19.972018161266583,2.7675000639157328,16.77366534352596,2.8085449129935394,14.97318987705491,2.6573500774196583
midi_files/schubert/schub_d960_2.mid,21.8367769505073,2.7873490469859963,21.30774691440441,2.8291986332095025,18.010963487878048,2.7336275050807974
midi_files/schubert/schub_d960_3.mid,22.54994456755936,2.7966898204333233,12.65250049365968,2.6408240599053245,15.58547160119854,2.672569969415792
midi_files/schubert/schumm-5.mid,21.90360865905791,2.7860838715068446,15.3623755244947,2.71161205395484,16.47117128952526,2.69294194454603
midi_files/schubert/schuim-4.mid,23.280617289015183,2.8019069033983635,17.458598431782526,2.790786350379398,18.47839318489547,2.711052850413042
midi_files/schubert/schuim-1.mid,21.47712366545115,2.8092554793540434,18.464410253469932,2.6956332779802437,15.318155495818942,2.6557080109100366
midi_files/schubert/schuim-3.mid,17.722653989647124,2.7422954881642494,19.215096029350132,2.8046756150492116,13.259621795712011,2.5978357301000368
midi_files/schubert/schuim-2.mid,24.389347674492512,2.8096635660022122,15.861534964854382,2.730788620639478,17.220528781592577,2.6994125048721966
midi_files/schubert/schubert_D850_4.mid,23.050845443425366,2.807781557782858,14.259667930790075,2.6552198410331607,17.021082499543,2.686711858824338
midi_files/schubert/schubert_D935_4.mid,25.911964092645782,2.8304553454236645,15.878924199166374,2.7708083594759074,20.32030397794926,2.756310107555938
midi_files/schubert/schub_d760_4.mid,26.684934959703316,2.819856484777926,18.639203765516598,2.7438854441406773,22.737357224502443,2.77717928084468
midi_files/schubert/schubert_D850_1.mid,24.786785140634382,2.817376079514754,17.744746075642688,2.7116336055284513,19.46732674588962,2.7444537850131656
midi_files/schubert/schubert_D935_1.mid,23.470147329117985,2.822395178979622,14.837871342890061,2.7168917976552596,15.555389909122688,2.669955165483816
midi_files/schubert/schub_d760_1.mid,24.332849545176785,2.8117613952152345,18.020114996308195,2.7213970940718526,20.275236348886676,2.754670592834431
midi_files/schubert/schubert_D850_2.mid,23.253577924445903,2.8111171372243473,16.65777800814141,2.703579607766979,17.588135219164496,2.7201399417872203
midi_files/schubert/schub_d760_3.mid,25.221690068910082,2.8185035050787346,16.67737602559378,2.690099441802154,19.355535918490983,2.7468990781342053
midi_files/schubert/schubert_D935_2.mid,24.156804182255094,2.8071793568454235,18.850028731569274,2.7810405375800653,19.11816904330945,2.692837001226341
